,VRSB
1095,24.299999237060547
1096,24.299999237060547
1097,24.299999237060547
1098,24.299999237060547
1099,24.299999237060547
1100,24.299999237060547
1101,23.200000762939453
1102,23.149999618530273
1103,23.700000762939453
1104,23.700000762939453
1105,23.200000762939453
1106,23.200000762939453
1107,23.200000762939453
1108,23.100000381469727
1109,22.600000381469727
1110,22.600000381469727
1111,22.600000381469727
1112,22.0
1113,22.5
1114,22.5
1115,20.950000762939453
1116,20.950000762939453
1117,20.950000762939453
1118,20.950000762939453
1119,20.950000762939453
1120,20.950000762939453
1121,20.950000762939453
1122,21.399999618530273
1123,20.799999237060547
1124,20.799999237060547
1125,20.799999237060547
1126,21.0
1127,21.0
1128,21.0
1129,19.850000381469727
1130,19.850000381469727
1131,19.850000381469727
1132,19.850000381469727
1133,19.850000381469727
1134,19.850000381469727
1135,19.850000381469727
1136,19.850000381469727
1137,20.100000381469727
1138,20.100000381469727
1139,19.100000381469727
1140,18.25
1141,19.0
1142,19.0
1143,24.299999237060547
1144,25.0
1145,28.5
1146,27.5
1147,25.0
1148,25.0
1149,25.0
1150,25.0
1151,23.5
1152,23.5
1153,22.950000762939453
1154,20.149999618530273
1155,20.149999618530273
1156,20.149999618530273
1157,20.149999618530273
1158,20.299999237060547
1159,20.299999237060547
1160,20.299999237060547
1161,20.299999237060547
1162,20.299999237060547
1163,19.649999618530273
1164,19.649999618530273
1165,19.649999618530273
1166,19.399999618530273
1167,19.399999618530273
1168,19.399999618530273
1169,19.399999618530273
1170,20.450000762939453
1171,19.549999237060547
1172,18.950000762939453
1173,18.950000762939453
1174,19.5
1175,19.5
1176,19.5
1177,19.5
1178,19.5
1179,19.5
1180,19.5
1181,19.5
1182,19.5
1183,19.5
1184,19.5
1185,19.5
1186,19.5
1187,19.5
1188,19.5
1189,19.5
1190,19.5
1191,19.399999618530273
1192,19.399999618530273
1193,19.399999618530273
1194,19.399999618530273
1195,19.399999618530273
1196,20.5
1197,22.350000381469727
1198,21.350000381469727
1199,21.350000381469727
1200,20.5
1201,20.5
1202,20.5
1203,19.850000381469727
1204,19.049999237060547
1205,19.049999237060547
1206,19.049999237060547
1207,19.700000762939453
1208,19.700000762939453
1209,19.700000762939453
1210,19.950000762939453
1211,19.950000762939453
1212,19.5
1213,19.5
1214,19.5
1215,19.5
1216,19.5
1217,19.5
1218,19.5
1219,19.5
1220,19.5
1221,19.5
1222,19.5
1223,19.5
1224,19.5
1225,19.5
1226,19.5
1227,19.5
1228,19.5
1229,19.5
1230,19.0
1231,19.0
1232,19.200000762939453
1233,19.200000762939453
1234,19.200000762939453
1235,20.600000381469727
1236,20.600000381469727
1237,20.600000381469727
1238,19.799999237060547
1239,20.0
1240,20.0
1241,20.0
1242,20.0
1243,19.799999237060547
1244,19.799999237060547
1245,19.799999237060547
1246,19.799999237060547
1247,19.799999237060547
1248,19.799999237060547
1249,19.799999237060547
1250,19.799999237060547
1251,20.200000762939453
1252,20.600000381469727
1253,20.600000381469727
1254,20.600000381469727
1255,20.600000381469727
1256,20.600000381469727
1257,20.600000381469727
1258,20.600000381469727
1259,20.600000381469727
1260,20.600000381469727
1261,19.799999237060547
1262,19.799999237060547
1263,19.799999237060547
1264,19.799999237060547
1265,19.799999237060547
1266,19.799999237060547
1267,19.799999237060547
