,BLNG
627,4.130000114440918
628,4.090000152587891
629,4.590000152587891
630,4.480000019073486
631,4.510000228881836
632,4.550000190734863
633,4.590000152587891
634,4.460000038146973
635,4.369999885559082
636,4.389999866485596
637,4.400000095367432
638,4.449999809265137
639,4.5
640,4.46999979019165
641,4.409999847412109
642,4.289999961853027
643,4.449999809265137
644,4.480000019073486
645,4.440000057220459
646,4.400000095367432
647,4.369999885559082
648,4.929999828338623
649,4.739999771118164
650,5.03000020980835
651,4.889999866485596
652,4.960000038146973
653,5.050000190734863
654,4.860000133514404
655,4.739999771118164
656,4.829999923706055
657,4.71999979019165
658,4.739999771118164
659,4.730000019073486
660,4.579999923706055
661,4.639999866485596
662,4.659999847412109
663,4.579999923706055
664,4.590000152587891
665,4.460000038146973
666,4.190000057220459
667,4.199999809265137
668,4.199999809265137
669,4.170000076293945
670,4.170000076293945
671,4.230000019073486
672,4.329999923706055
673,4.369999885559082
674,4.289999961853027
675,4.300000190734863
676,4.28000020980835
677,4.28000020980835
678,4.260000228881836
679,4.289999961853027
680,4.320000171661377
681,4.320000171661377
682,4.340000152587891
683,4.409999847412109
684,4.429999828338623
685,4.329999923706055
686,4.239999771118164
687,4.210000038146973
688,4.239999771118164
689,4.239999771118164
690,4.269999980926514
691,4.260000228881836
692,4.289999961853027
693,4.269999980926514
694,4.409999847412109
695,4.349999904632568
696,4.320000171661377
697,4.300000190734863
698,4.329999923706055
699,4.289999961853027
700,4.309999942779541
701,4.309999942779541
702,4.329999923706055
703,4.260000228881836
704,4.289999961853027
705,4.289999961853027
706,4.289999961853027
707,4.389999866485596
708,4.409999847412109
709,4.369999885559082
710,4.28000020980835
711,4.320000171661377
712,4.159999847412109
713,4.130000114440918
714,4.110000133514404
715,4.050000190734863
716,4.090000152587891
717,4.199999809265137
718,4.119999885559082
719,4.139999866485596
720,4.21999979019165
721,4.269999980926514
722,4.300000190734863
723,4.179999828338623
724,4.429999828338623
725,4.539999961853027
726,4.5
727,4.440000057220459
728,4.389999866485596
729,4.389999866485596
730,4.309999942779541
731,4.289999961853027
732,4.28000020980835
733,4.269999980926514
734,4.289999961853027
735,4.269999980926514
736,4.320000171661377
737,4.309999942779541
738,4.389999866485596
739,4.349999904632568
740,4.309999942779541
741,4.53000020980835
742,4.659999847412109
743,4.579999923706055
744,4.570000171661377
745,4.699999809265137
746,4.78000020980835
747,4.570000171661377
748,4.380000114440918
749,4.449999809265137
750,4.53000020980835
751,4.550000190734863
752,4.659999847412109
753,4.949999809265137
754,4.920000076293945
755,5.400000095367432
756,5.119999885559082
757,5.050000190734863
758,4.900000095367432
759,4.71999979019165
760,4.590000152587891
761,4.639999866485596
762,4.920000076293945
763,5.059999942779541
764,4.949999809265137
765,4.889999866485596
766,4.840000152587891
767,4.940000057220459
768,4.690000057220459
769,4.679999828338623
770,4.659999847412109
771,4.570000171661377
772,4.71999979019165
773,4.690000057220459
774,4.599999904632568
775,4.639999866485596
776,4.670000076293945
777,4.639999866485596
778,4.389999866485596
779,4.380000114440918
780,4.360000133514404
781,4.28000020980835
782,4.420000076293945
783,4.480000019073486
784,4.349999904632568
785,4.320000171661377
786,4.400000095367432
787,5.230000019073486
788,4.809999942779541
789,4.920000076293945
790,5.03000020980835
791,4.960000038146973
792,4.840000152587891
793,4.800000190734863
794,4.71999979019165
795,4.800000190734863
796,4.849999904632568
797,4.849999904632568
798,4.889999866485596
799,5.010000228881836
800,4.96999979019165
801,5.25
802,5.25
803,5.349999904632568
804,5.300000190734863
805,5.170000076293945
806,5.059999942779541
807,5.130000114440918
808,5.090000152587891
809,5.019999980926514
810,5.050000190734863
811,5.039999961853027
812,5.019999980926514
813,5.039999961853027
814,5.010000228881836
815,5.010000228881836
816,5.010000228881836
817,5.03000020980835
818,5.0
819,5.010000228881836
820,4.989999771118164
821,5.139999866485596
822,5.050000190734863
823,5.039999961853027
824,5.0
825,4.980000019073486
826,4.940000057220459
827,4.929999828338623
828,4.800000190734863
829,4.630000114440918
830,4.679999828338623
831,4.659999847412109
832,4.699999809265137
833,4.710000038146973
834,4.78000020980835
835,4.880000114440918
836,4.900000095367432
837,4.75
838,4.849999904632568
839,4.800000190734863
840,4.710000038146973
841,4.809999942779541
842,4.760000228881836
843,4.760000228881836
844,4.639999866485596
845,4.639999866485596
846,4.639999866485596
847,4.579999923706055
848,4.53000020980835
849,4.639999866485596
850,4.610000133514404
851,4.679999828338623
852,4.619999885559082
853,4.610000133514404
854,4.639999866485596
855,4.730000019073486
856,4.71999979019165
857,4.630000114440918
858,4.670000076293945
859,4.690000057220459
860,4.690000057220459
861,4.730000019073486
862,4.679999828338623
863,4.559999942779541
864,4.510000228881836
865,4.559999942779541
866,4.519999980926514
867,4.340000152587891
868,4.360000133514404
869,4.369999885559082
870,4.289999961853027
871,4.28000020980835
872,4.289999961853027
873,4.300000190734863
874,4.210000038146973
875,4.090000152587891
876,4.110000133514404
877,4.070000171661377
878,4.110000133514404
879,4.210000038146973
880,4.110000133514404
881,3.9200000762939453
882,3.950000047683716
883,3.9700000286102295
884,3.940000057220459
885,4.0
886,3.9800000190734863
887,3.9000000953674316
888,3.9700000286102295
889,3.9600000381469727
890,3.9100000858306885
891,3.930000066757202
892,3.869999885559082
893,3.75
894,3.759999990463257
895,3.700000047683716
896,3.700000047683716
897,3.680000066757202
898,3.680000066757202
899,3.690000057220459
900,3.680000066757202
901,3.700000047683716
902,3.6500000953674316
903,3.559999942779541
904,3.5399999618530273
905,3.3299999237060547
906,3.25
907,3.240000009536743
908,3.2799999713897705
909,3.200000047683716
910,2.799999952316284
